key,en,es,notes
Game title,Legend Of The Lost Emerald ,La Leyenda De La Esmeralda Perdida,
Test/Test,"""A test that uses,"" quotes and a comma","""Una prueba que utiliza"", comillas y una coma",
Dialogue/Header/Conversation,conversation with,conversación con,
,,,
UI/Title/NewGame,New Game,Juego Nuevo,
UI/Title/LoadLevel,Load Level,Iniciar Nivel,
UI/Title/Credits,Credits,Créditos ,
UI/Title/Options,Options,Opciones,
UI/Title/Levels,Levels,Niveles,
UI/Title/Level1,Level 1,Nivel 1,
UI/Title/Level2,Level 2,Nivel 2,
UI/Title/Level3,Level 3,Nivel 3,
UI/Title/Level4,Level 4,Nivel 4,
UI/Title/Review,Review,Resumen,
UI/Title/Part1,Part 1,Parte 1,
UI/Title/Part2,Part 2,Parte 2,
UI/Title/Sound,Sound,Sonido,
UI/Title/Fullscreen,Fullscreen,Pantalla grande,
UI/Title/Language,Language,Idioma,
,,,
UI/General/Continue,Continue,Continuar,
UI/General/Back,Back,Atrás ,
UI/General/Close,Close,Cerrar,
UI/Evidence/Back,Back to Office,Volver a la oficina ,
UI/Evidence/ShipOut,Ship Out,Embarcarse,
UI/Phone/Contacts,Contacts,Contactos,
UI/Dive/Surface,Surface,Surgir a la superficie,
UI/Dive/Ascend,Ascend,Ascender,
UI/Dive/TakePhoto,Take Photo,Tomar foto,
UI/Dive/SavePhoto,Save Photo,Guardar foto,
UI/Dive/JournalHeader,Dive Photos,Fotos de buceo,
UI/Map/ShipOut,Ship Out!,¡Embarcarse!,Why is this not the same as the other ship out? 
UI/Modal/BoardComplete,Evidence Board Complete!,¡Tablero de evidencias completo!,
UI/Modal/CaseClosed,Case Closed!,¡Caso cerrado!,
UI/Modal/CaseClosed/Name,Ship :,Nave :,
UI/Modal/CaseClosed/Type,Type :,Tipo :,
UI/Modal/CaseClosed/Cause,Cause of Wreck :,Causa de la ruina:,
,,,
Character/Dad/Name,Dad,Papá,
Character/Lou/Name,Lou,Lou,
Character/Amy/Name,Amy,Amy,
Character/Mom/Name,Mom,Mamá ,
Character/Reya/Name,Reya,Reya,
Character/You/Name,You,Usted,
Character/Cami/Name,Cami,Cami,
Character/Ed/Name,Ed,Ed,
Character/Johnny/Name,Johnny,Johnny,
,,,
Shipout/Progress,Sonar Image,Imagen del sonar,
Shipout/Dive,Dive,Zambullirse,
Shipout/Return,Return to Office,Volver a la oficina,
,,,
Level1/Unnamed,Rawley Point Shipwreck,La ruina de Rawley Point,Can also use La ruina Rawley Point for simplicity of the UI
Level1/Named,The Loretta,La Loretta,
