Line Name, Code, English
level01|level01.dad-meet:1, @8044AFC1, "{@dad}  Hey Jules! Big news!"
level01|level01.dad-meet:2, @7D44AB08, "You know how your grandpa's ship sank on Lake Superior, when I was just a kid?"
level01|level01.dad-meet:3, @7E44AC9B, "{@you}  Of course. You've been talking about that shipwreck since I was little."
level01|level01.dad-meet:4, @8344B47A, "{@dad}  Well, I found one of your grandpa's old letters."
level01|level01.dad-meet:6, @8144B154, "His ship, the SS Emerald, was carrying treasure!"
level01|level01.dad-meet:7, @8244B2E7, "{@you}  Since when do you care about treasure, Dad?"
level01|level01.dad-meet:9, @7844A329, "{@dad}  I don't, but your sister does!"
level01|level01.dad-meet:10, @DD20F863, "She's gonna help me find the shipwreck!"
level01|level01.dad-meet:11, @DC20F6D0, "She also found your grandma's locket. Looks nice on her."
level01|level01.dad-meet:12, @DF20FB89, "{@you}  Wait. You let Reya take the locket??"
level01|level01.dad-meet:13, @DE20F9F6, "{@dad}  Well, you weren't here."
level01|level01.dad-meet:14, @E120FEAF, "So what do you say? Wanna help us?"
level01|level01.dad-meet:15, @E020FD1C, "{@you}  Well... I guess I can start a file for Grandpa's ship."
level01|level01.dad-meet:16, @E32101D5, "{@dad}  That's great!"
level01|level01.dad-meet:17, @E2210042, "The Emerald has been lost for so long."
level01|level01.dad-meet:18, @E52104FB, "If I could just find it, it would fix everything!"
level01|level01.dad-meet:19, @E4210368, "{@you}  Wait... fix what? What do you mean?"
level01|level01.dad-meet:20, @6B198928, "{@dad}  Sorry, Jules, no time to talk. I've got work to do!"
level01|level01.lou-meet:2, @5418E3F7, "{@lou}  Hiya, Jules!"
level01|level01.lou-meet:3, @5318E264, "{@you} \tHey Lou. What’s all that noise?"
level01|level01.lou-meet:4, @5218E0D1, "{@lou} \tOh, I’m just out flying over Lake Michigan on my ultralight plane."
level01|level01.lou-meet:5, @5118DF3E, "{@you} \tWhat??? You’re flying right now? Isn't that dangerous?"
level01|level01.lou-meet:6, @5018DDAB, "{@lou} \tNot as dangerous as sitting at home, bored out of my mind."
level01|level01.lou-meet:7, @4F18DC18, "Check out what I found!"
level01|level01.lou-meet:9, @4D18D8F2, "What do you think?"
level01|level01.lou-meet:10, @B031A3CE, "{@you} \tLooks like a shipwreck!"
level01|level01.lou-meet:11, @B131A561, "{@lou} \tAwesome! I thought it might be."
level01|level01.lou-meet:12, @AE31A0A8, "It's in Lake Michigan, near Rawley Point."
level01|level01.lou-meet:13, @AF31A23B, "I'll send you the latitude and longitude."
level01|level01.lou-meet:14, @B431AA1A, "Location: N 44° 11.524' W 087° 30.591'"
level01|level01.lou-meet:16, @B231A6F4, "{@you} \tThanks, Lou. Stay safe out there!"
level01|level01.sonar-tutorial:1, @A4009702, "{@you}\tThe ship should be around here somewhere. Time to drive my boat around and find it with my sonar."
level01|level01.buoy-drop:1, @ADE2F165, "{@you}\tThere it is! I’ll drop a buoy to mark the location."
level01|level01.dive-observation-mast:0, @4962B5FE, "{@you}\tLooks like some of the rigging that held up the mast is still here!"
level01|level01.dive-start:0, @CA5F1B66, "{@you} There's the ship!"
level01|level01.dive-start:1, @CB5F1CF9, "I'll take a photo from up here."
